-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 12/31/2023 
Location: Latitude  6.5   Longitude -75.25 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1291.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
YEAR,MO,DY,WS10M_MAX
2016,5,5,1.24
2016,5,6,1.62
2016,5,7,1.1
2016,5,8,1.3
2016,5,9,1.17
2016,5,10,1.15
2016,5,11,1.61
2016,5,12,1.4
2016,5,13,1.05
2016,5,14,1.13
2016,5,15,1.07
2016,5,16,1.35
2016,5,17,1.18
2016,5,18,1.11
2016,5,19,1.22
2016,5,20,1.39
2016,5,21,1.69
2016,5,22,1.23
2016,5,23,1.23
2016,5,24,1.48
2016,5,25,1.3
2016,5,26,1.41
2016,5,27,1.0
2016,5,28,0.84
2016,5,29,0.95
2016,5,30,1.31
2016,5,31,1.18
2016,6,1,1.22
2016,6,2,1.06
2016,6,3,1.2
2016,6,4,0.98
2016,6,5,1.31
2016,6,6,1.41
2016,6,7,0.92
2016,6,8,1.21
2016,6,9,1.77
2016,6,10,1.22
2016,6,11,1.38
2016,6,12,1.26
2016,6,13,1.41
2016,6,14,1.3
2016,6,15,1.34
2016,6,16,1.5
2016,6,17,0.99
2016,6,18,1.11
2016,6,19,1.55
2016,6,20,1.66
2016,6,21,1.46
2016,6,22,1.66
2016,6,23,1.02
2016,6,24,1.18
2016,6,25,1.18
2016,6,26,1.17
2016,6,27,1.63
2016,6,28,1.66
2016,6,29,1.72
2016,6,30,1.36
2016,7,1,1.62
2016,7,2,1.34
2016,7,3,1.15
2016,7,4,1.17
2016,7,5,1.02
2016,7,6,1.12
2016,7,7,1.23
2016,7,8,1.84
2016,7,9,1.32
2016,7,10,1.42
2016,7,11,1.41
2016,7,12,1.12
2016,7,13,1.18
2016,7,14,1.12
2016,7,15,1.04
2016,7,16,1.05
2016,7,17,1.31
2016,7,18,1.29
2016,7,19,1.25
2016,7,20,1.23
2016,7,21,1.62
2016,7,22,1.04
2016,7,23,1.16
2016,7,24,0.89
2016,7,25,1.38
2016,7,26,1.67
2016,7,27,1.35
2016,7,28,1.62
2016,7,29,1.59
2016,7,30,1.12
